,Stars,Closed Issues,Open Issues,Sizes
count,11131.0,9764.0,11131.0,11131.00000
mean,923.5910520168898,147.73095043015158,43.91878537418022,79691.48944
std,3748.198496519942,865.9433272276951,167.98012883111633,238352.69177
min,20.0,0.0,0.0,5002.00000
25%,30.0,0.0,1.0,10059.00000
50%,77.0,3.0,5.0,21732.00000
75%,556.0,34.0,25.0,60161.50000
max,143056.0,33227.0,4741.0,6823318.00000
